t-lat,t-long
-6.202175086262022,106.8860132734956
-6.206613900061124,106.8859022605832
-6.206648828715764,106.8859039864337
-6.206672276772881,106.8859060738784
-6.206688227285518,106.885916165819
-6.206708336413324,106.885943557423
-6.206720698763412,106.8859786174696
-6.206726654645232,106.8860155956993
-6.206729016015582,106.8860483413283
-6.206726762878486,106.8870332700688
-6.206726763184396,106.8870728936278
-6.206728281468497,106.8871171199246
-6.206725632464583,106.8871734193862
-6.206580325762928,106.8892870328726
-6.206538767135537,106.8899648695095
-6.206538308089359,106.8899869192106
-6.206537336141218,106.8900049040392
-6.206535869122263,106.8900198895434
-6.206526825146945,106.8900412675258
-6.206509053567649,106.8900549311048
-6.206487642798977,106.8900633743357
-6.206463639788593,106.8900624455534
-6.202271362935241,106.8901832277427
-6.202251531014148,106.8901844896939
-6.202230420458299,106.8901840569359
-6.202212397961429,106.8901752969917
-6.202196395920617,106.8901629179748
-6.20218191992451,106.8901448206186
-6.202171568569534,106.8901308428594
-6.202164835059344,106.8901132195795
-6.20216068928686,106.8900945489265
-6.202157581960224,106.8900732794287
-6.202047291495183,106.8883563522006
-6.202002986748241,106.8876527783602
-6.201996645884858,106.8875406604995
-6.201996715396508,106.8874717716413
-6.202006081883741,106.8873429289773
-6.202028102878253,106.8868221339611
-6.202062041939866,106.8860997254147
-6.202066496404508,106.886072412039
-6.202074177154999,106.8860509902543
-6.202087334667389,106.8860310406217
-6.202112056725989,106.8860197656235
-6.202140812431865,106.8860131903474
-6.202175086262022,106.8860132734956
