t-lat,t-long
-6.118386604308448,106.8609246457077
-6.118374968077298,106.8609833713169
-6.118365450772285,106.8610200155201
-6.118346336686777,106.8610531336751
-6.118316344062829,106.8610781032311
-6.118286149123219,106.8610953441852
-6.118251587920978,106.8611097457601
-6.118211737859073,106.8611163608307
-6.118179113058305,106.8611155772198
-6.118146403802098,106.8611098076887
-6.118121447057283,106.8610962773926
-6.118092142751864,106.8610716040612
-6.117442744470336,106.8604844432776
-6.117388355578375,106.8604379695369
-6.117350548385781,106.8604057698401
-6.117311453906784,106.8603820796302
-6.117277645450749,106.8603651013367
-6.117233605862521,106.8603471490731
-6.117195891998102,106.8603387549158
-6.117148982516789,106.8603320681068
-6.117101866433407,106.860326707281
-6.117062929101196,106.8603287582051
-6.117014725845633,106.8603370236304
-6.116971807853417,106.8603495509171
-6.116929648204237,106.8603659416286
-6.116888107531114,106.8603871725705
-6.116850973112676,106.8604071624345
-6.116812324479068,106.8604378518021
-6.116759197003848,106.860482792975
-6.116700674475082,106.8605391459716
-6.116578028263648,106.8606582564599
-6.116547430233966,106.8606925160301
-6.116525822465121,106.8607248613841
-6.116511529419584,106.8607548536784
-6.116499104976782,106.8607851500763
-6.116490472829717,106.8608171726219
-6.116491224352604,106.8608514680882
-6.116497203044127,106.8608832268266
-6.116509385934418,106.8609152334403
-6.116532053785555,106.8609434814739
-6.116560870485453,106.860964115517
-6.116914317809791,106.8611925200441
-6.116944613663557,106.8612111719528
-6.116973783837818,106.8612253839435
-6.117004363420738,106.8612375362879
-6.117029151292,106.8612485574414
-6.117054012997495,106.8612584445762
-6.117082121128843,106.8612650253549
-6.117110620929273,106.8612694186828
-6.117141657282776,106.8612749378353
-6.117177579109202,106.8612762640041
-6.117685982241858,106.8613044336788
-6.11771931084312,106.8613040548292
-6.117747791737226,106.8613079146887
-6.117780219850063,106.8613119936615
-6.117822136981718,106.8613232248378
-6.117852249194378,106.8613326193088
-6.117885386200621,106.861346576253
-6.11791733865546,106.8613631960293
-6.117944778055953,106.8613817922865
-6.118506132394057,106.8617308313154
-6.118532658367335,106.8617492034693
-6.118559377922362,106.8617721208255
-6.118576544504064,106.8618033732998
-6.118581522215598,106.8618390611645
-6.118574946175977,106.8618787138604
-6.118559227730696,106.8619131368281
-6.118536319748783,106.861941041804
-6.118496159612967,106.8619560068067
-6.118452557358624,106.8619505013375
-6.118414603914808,106.8619506170923
-6.118361313697634,106.861946661294
-6.116618578600749,106.8617163728879
-6.116571963554581,106.8617093154409
-6.116526670354734,106.8617012925968
-6.116484333203895,106.8616901689858
-6.116449897546283,106.8616756549881
-6.11641889438553,106.8616556607518
-6.116383304963859,106.8616304712762
-6.116349505535285,106.8616018933196
-6.116325992881724,106.8615745445445
-6.116306777185599,106.8615387727082
-6.116082723886554,106.8610825127028
-6.116066074482161,106.8610523020376
